Year,Month,Department,Revenue
2021,January,Sales,270252.05
2021,January,Marketing,366988.1
2021,January,R&D,236872.17
2021,January,HR,468572.7
2021,January,Operations,309656.49
2021,February,Sales,449294.36
2021,February,Marketing,227109.79
2021,February,R&D,428598.4
2021,February,HR,63554.66
2021,February,Operations,427485.41
2021,March,Sales,151544.84
2021,March,Marketing,183341.41
2021,March,R&D,424791.14
2021,March,HR,458219.12
2021,March,Operations,96713.03
2021,April,Sales,496876.87
2021,April,Marketing,488659.0
2021,April,R&D,137929.53
2021,April,HR,135002.54
2021,April,Operations,83236.66
2021,May,Sales,312734.43
2021,May,Marketing,422904.26
2021,May,R&D,327140.7
2021,May,HR,472946.3
2021,May,Operations,78584.16
2021,June,Sales,269455.58
2021,June,Marketing,185902.73
2021,June,R&D,286535.41
2021,June,HR,461217.6
2021,June,Operations,164360.7
2021,July,Sales,183092.39
2021,July,Marketing,162148.75
2021,July,R&D,294240.69
2021,July,HR,176240.18
2021,July,Operations,194889.35
2021,August,Sales,192317.63
2021,August,Marketing,352586.38
2021,August,R&D,223147.85
2021,August,HR,239279.65
2021,August,Operations,409073.55
2021,September,Sales,209040.73
2021,September,Marketing,135609.47
2021,September,R&D,465999.22
2021,September,HR,354480.48
2021,September,Operations,344152.89
2021,October,Sales,120085.08
2021,October,Marketing,353053.18
2021,October,R&D,137567.31
2021,October,HR,131422.12
2021,October,Operations,233769.04
2021,November,Sales,93834.21
2021,November,Marketing,133415.25
2021,November,R&D,72059.11
2021,November,HR,99982.62
2021,November,Operations,259549.53
2021,December,Sales,219238.39
2021,December,Marketing,365252.4
2021,December,R&D,120334.48
2021,December,HR,90590.13
2021,December,Operations,496197.4
2022,January,Sales,416880.5
2022,January,Marketing,165652.68
2022,January,R&D,246453.43
2022,January,HR,465294.08
2022,January,Operations,101652.51
2022,February,Sales,350527.41
2022,February,Marketing,113236.4
2022,February,R&D,304093.32
2022,February,HR,381827.59
2022,February,Operations,127072.55
2022,March,Sales,111398.34
2022,March,Marketing,51625.1
2022,March,R&D,444675.1
2022,March,HR,497487.43
2022,March,Operations,152300.4
2022,April,Sales,216928.58
2022,April,Marketing,251073.99
2022,April,R&D,127320.91
2022,April,HR,405279.92
2022,April,Operations,161074.76
2022,May,Sales,474646.1
2022,May,Marketing,229566.68
2022,May,R&D,76493.73
2022,May,HR,431538.77
2022,May,Operations,204621.95
2022,June,Sales,445195.41
2022,June,Marketing,229390.75
2022,June,R&D,107023.16
2022,June,HR,140600.97
2022,June,Operations,217244.18
2022,July,Sales,270175.76
2022,July,Marketing,103425.29
2022,July,R&D,161842.54
2022,July,HR,79284.25
2022,July,Operations,305117.24
2022,August,Sales,183115.15
2022,August,Marketing,404023.03
2022,August,R&D,356482.67
2022,August,HR,171240.95
2022,August,Operations,183745.16
2022,September,Sales,108740.88
2022,September,Marketing,487258.05
2022,September,R&D,426100.98
2022,September,HR,379226.32
